year,man_literate,man_non_literate,woman_literate,woman_non_literate,literate,non_literate,city,town_code,town
2014,97.94,2.06,85.05,14.95,91.65,8.35,Adana,1757,Aladağ
2014,98.63,1.37,93.18,6.82,95.91,4.09,Adana,1219,Ceyhan
2014,99.58,0.42,97.98,2.02,98.76,1.24,Adana,2033,Çukurova
2014,97.93,2.07,90.56,9.44,94.42,5.58,Adana,1329,Feke
2014,98.74,1.26,94.37,5.63,96.56,3.44,Adana,1806,İmamoğlu
2014,96.87,3.13,83.06,16.94,90.0,10.0,Adana,1437,Karaisalı
2014,98.63,1.37,90.45,9.55,94.58,5.42,Adana,1443,Karataş
2014,98.35,1.65,91.33,8.67,94.84,5.16,Adana,1486,Kozan
2014,98.75,1.25,93.09,6.91,96.01,3.99,Adana,1580,Pozantı
2014,97.0,3.0,86.06,13.94,91.69,8.31,Adana,1588,Saimbeyli
2014,99.07,0.93,94.81,5.19,96.98,3.02,Adana,2032,Sarıçam
2014,98.34,1.66,92.53,7.47,95.41,4.59,Adana,1104,Seyhan
2014,97.43,2.57,82.67,17.33,90.32,9.68,Adana,1687,Tufanbeyli
2014,98.75,1.25,90.42,9.58,94.58,5.42,Adana,1734,Yumurtalık
2014,97.88,2.12,90.08,9.92,94.0,6.0,Adana,1748,Yüreğir
2014,97.31,2.69,86.31,13.69,91.8,8.2,Adıyaman,1182,Besni
2014,97.34,2.66,86.68,13.32,92.11,7.89,Adıyaman,1246,Çelikhan
2014,93.62,6.38,75.82,24.18,84.52,15.48,Adıyaman,1347,Gerger
2014,98.09,1.91,88.6,11.4,93.37,6.63,Adıyaman,1354,Gölbaşı
2014,97.09,2.91,87.0,13.0,92.07,7.93,Adıyaman,1425,Kahta
2014,97.79,2.21,89.98,10.02,93.89,6.11,Adıyaman,1105,Merkez
2014,96.9,3.1,86.93,13.07,91.86,8.14,Adıyaman,1592,Samsat
2014,94.31,5.69,78.99,21.01,86.46,13.54,Adıyaman,1985,Sincik
2014,95.81,4.19,80.88,19.12,88.51,11.49,Adıyaman,1989,Tut
2014,98.53,1.47,92.79,7.21,95.63,4.37,Afyonkarahisar,1771,Başmakçı
2014,98.17,1.83,90.4,9.6,94.28,5.72,Afyonkarahisar,1773,Bayat
2014,99.3,0.7,95.22,4.78,97.26,2.74,Afyonkarahisar,1200,Bolvadin
2014,99.09,0.91,93.57,6.43,96.27,3.73,Afyonkarahisar,1239,Çay
2014,99.04,0.96,88.75,11.25,93.9,6.1,Afyonkarahisar,1906,Çobanlar
2014,99.47,0.53,97.07,2.93,98.27,1.73,Afyonkarahisar,1267,Dazkırı
2014,98.67,1.33,91.51,8.49,95.06,4.94,Afyonkarahisar,1281,Dinar
2014,98.27,1.73,90.43,9.57,94.3,5.7,Afyonkarahisar,1306,Emirdağ
2014,99.25,0.75,93.71,6.29,96.45,3.55,Afyonkarahisar,1923,Evciler
2014,98.22,1.78,88.31,11.69,93.17,6.83,Afyonkarahisar,1944,Hocalar
2014,98.67,1.33,92.35,7.65,95.5,4.5,Afyonkarahisar,1404,İhsaniye
2014,98.96,1.04,92.74,7.26,95.85,4.15,Afyonkarahisar,1809,İscehisar
2014,98.77,1.23,86.85,13.15,92.55,7.45,Afyonkarahisar,1961,Kızılören
2014,99.44,0.56,96.41,3.59,97.91,2.09,Afyonkarahisar,1108,Merkez
2014,98.83,1.17,93.1,6.9,95.88,4.12,Afyonkarahisar,1594,Sandıklı
2014,98.86,1.14,91.15,8.85,94.95,5.05,Afyonkarahisar,1626,Sinanpaşa
2014,98.99,1.01,94.58,5.42,96.74,3.26,Afyonkarahisar,1664,Şuhut
2014,99.28,0.72,93.76,6.24,96.39,3.61,Afyonkarahisar,1639,Sultandağı
2014,96.31,3.69,82.89,17.11,89.84,10.16,Ağrı,1283,Diyadin
2014,96.71,3.29,82.87,17.13,90.2,9.8,Ağrı,1287,Doğubayazıt
2014,97.56,2.44,84.35,15.65,91.32,8.68,Ağrı,1301,Eleşkirt
2014,96.2,3.8,83.42,16.58,90.06,9.94,Ağrı,1379,Hamur
2014,97.74,2.26,87.5,12.5,92.84,7.16,Ağrı,1111,Merkez
2014,97.05,2.95,86.46,13.54,92.01,7.99,Ağrı,1568,Patnos
2014,97.4,2.6,87.09,12.91,92.36,7.64,Ağrı,1667,Taşlıçay
2014,96.2,3.8,80.25,19.75,88.45,11.55,Ağrı,1691,Tutak
2014,97.22,2.78,85.67,14.33,91.34,8.66,Aksaray,1860,Ağaçören
2014,99.2,0.8,92.6,7.4,95.9,4.1,Aksaray,1921,Eskil
2014,97.71,2.29,86.06,13.94,91.84,8.16,Aksaray,1932,Gülağaç
2014,98.72,1.28,92.6,7.4,95.64,4.36,Aksaray,1861,Güzelyurt
2014,98.66,1.34,91.76,8.24,95.17,4.83,Aksaray,1120,Merkez
2014,98.11,1.89,89.19,10.81,93.52,6.48,Aksaray,1557,Ortaköy
2014,97.72,2.28,84.28,15.72,90.98,9.02,Aksaray,1866,Sarıyahşi
2014,98.74,1.26,95.92,4.08,97.31,2.69,Amasya,1363,Göynücek
2014,98.19,1.81,92.24,7.76,95.11,4.89,Amasya,1368,Gümüşhacıköy
2014,97.51,2.49,91.53,8.47,94.43,5.57,Amasya,1938,Hamamözü
2014,98.72,1.28,94.6,5.4,96.66,3.34,Amasya,1134,Merkez
2014,98.94,1.06,95.23,4.77,97.07,2.93,Amasya,1524,Merzifon
2014,98.09,1.91,91.06,8.94,94.53,5.47,Amasya,1641,Suluova
2014,98.15,1.85,92.59,7.41,95.29,4.71,Amasya,1668,Taşova
2014,99.06,0.94,96.12,3.88,97.61,2.39,Ankara,1872,Akyurt
2014,98.96,1.04,94.3,5.7,96.64,3.36,Ankara,1130,Altındağ
2014,99.23,0.77,96.89,3.11,98.06,1.94,Ankara,1157,Ayaş
2014,97.89,2.11,87.98,12.02,93.18,6.82,Ankara,1167,Bala
2014,99.01,0.99,94.9,5.1,96.93,3.07,Ankara,1187,Beypazarı
2014,94.34,5.66,75.4,24.6,84.78,15.22,Ankara,1227,Çamlıdere
2014,99.66,0.34,97.95,2.05,98.78,1.22,Ankara,1231,Çankaya
2014,98.6,1.4,92.86,7.14,95.74,4.26,Ankara,1260,Çubuk
2014,98.85,1.15,93.56,6.44,96.26,3.74,Ankara,1302,Elmadağ
2014,99.57,0.43,97.53,2.47,98.56,1.44,Ankara,1922,Etimesgut
2014,96.29,3.71,87.24,12.76,91.62,8.38,Ankara,1924,Evren
2014,99.43,0.57,96.33,3.67,97.91,2.09,Ankara,1744,Gölbaşı
2014,98.7,1.3,91.59,8.41,95.03,4.97,Ankara,1365,Güdül
2014,98.02,1.98,88.88,11.12,93.56,6.44,Ankara,1387,Haymana
2014,98.37,1.63,91.03,8.97,94.74,5.26,Ankara,1427,Kalecik
2014,99.27,0.73,95.82,4.18,97.59,2.41,Ankara,1815,Kazan
2014,99.4,0.6,95.97,4.03,97.66,2.34,Ankara,1745,Keçiören
2014,97.71,2.29,89.29,10.71,93.51,6.49,Ankara,1473,Kızılcahamam
2014,99.15,0.85,94.48,5.52,96.82,3.18,Ankara,1746,Mamak
2014,98.41,1.59,94.56,5.44,96.46,3.54,Ankara,1539,Nallıhan
2014,99.13,0.87,94.64,5.36,96.9,3.1,Ankara,1578,Polatlı
2014,99.25,0.75,96.88,3.12,98.06,1.94,Ankara,2034,Pursaklar
2014,97.69,2.31,89.49,10.51,93.6,6.4,Ankara,1658,Şereflikoçhisar
2014,99.39,0.61,95.79,4.21,97.63,2.37,Ankara,1747,Sincan
2014,99.47,0.53,96.64,3.36,98.02,1.98,Ankara,1723,Yenimahalle
2014,99.73,0.27,99.08,0.92,99.42,0.58,Antalya,1121,Akseki
2014,99.63,0.37,98.42,1.58,99.04,0.96,Antalya,2035,Aksu
2014,99.44,0.56,98.31,1.69,98.89,1.11,Antalya,1126,Alanya
2014,99.68,0.32,98.77,1.23,99.24,0.76,Antalya,1811,Demre
2014,99.65,0.35,98.54,1.46,99.11,0.89,Antalya,2036,Döşemealtı
2014,99.27,0.73,97.05,2.95,98.17,1.83,Antalya,1303,Elmalı
2014,98.97,1.03,95.44,4.56,97.21,2.79,Antalya,1333,Finike
2014,99.36,0.64,98.22,1.78,98.79,1.21,Antalya,1337,Gazipaşa
2014,97.76,2.24,92.94,7.06,95.29,4.71,Antalya,1370,Gündoğmuş
2014,99.16,0.84,99.15,0.85,99.16,0.84,Antalya,1946,İbradı
2014,99.7,0.3,99.06,0.94,99.39,0.61,Antalya,1451,Kaş
2014,99.26,0.74,97.51,2.49,98.47,1.53,Antalya,1959,Kemer
2014,99.26,0.74,96.32,3.68,97.81,2.19,Antalya,2037,Kepez
2014,99.55,0.45,98.73,1.27,99.13,0.87,Antalya,2038,Konyaaltı
2014,99.47,0.53,98.34,1.66,98.9,1.1,Antalya,1483,Korkuteli
2014,99.03,0.97,95.44,4.56,97.26,2.74,Antalya,1492,Kumluca
2014,99.13,0.87,96.99,3.01,98.1,1.9,Antalya,1512,Manavgat
2014,99.57,0.43,98.31,1.69,98.93,1.07,Antalya,2039,Muratpaşa
2014,99.6,0.4,98.45,1.55,99.04,0.96,Antalya,1616,Serik
2014,96.54,3.46,84.3,15.7,90.71,9.29,Ardahan,1252,Çıldır
2014,97.31,2.69,81.68,18.32,89.72,10.28,Ardahan,2008,Damal
2014,97.44,2.56,86.31,13.69,92.01,7.99,Ardahan,1356,Göle
2014,97.23,2.77,82.7,17.3,90.04,9.96,Ardahan,1380,Hanak
2014,97.9,2.1,89.38,10.62,93.82,6.18,Ardahan,1144,Merkez
2014,97.58,2.42,90.55,9.45,94.1,5.9,Ardahan,1579,Posof
2014,98.69,1.31,94.66,5.34,96.7,3.3,Artvin,1145,Ardanuç
2014,99.28,0.72,95.25,4.75,97.25,2.75,Artvin,1147,Arhavi
2014,98.86,1.14,92.41,7.59,95.72,4.28,Artvin,1202,Borçka
2014,99.28,0.72,92.46,7.54,95.89,4.11,Artvin,1395,Hopa
2014,99.17,0.83,95.48,4.52,97.36,2.64,Artvin,1152,Merkez
2014,99.41,0.59,96.57,3.43,98.04,1.96,Artvin,1828,Murgul
2014,97.68,2.32,90.38,9.62,94.1,5.9,Artvin,1653,Şavşat
2014,97.53,2.47,90.65,9.35,94.05,5.95,Artvin,1736,Yusufeli
2014,97.8,2.2,91.01,8.99,94.4,5.6,Aydın,1206,Bozdoğan
2014,99.05,0.95,95.89,4.11,97.44,2.56,Aydın,1781,Buharkent
2014,98.55,1.45,94.45,5.55,96.49,3.51,Aydın,1256,Çine
2014,99.35,0.65,97.18,2.82,98.29,1.71,Aydın,2000,Didim
2014,99.21,0.79,95.7,4.3,97.45,2.55,Aydın,2076,Efeler
2014,98.9,1.1,95.88,4.12,97.38,2.62,Aydın,1348,Germencik
2014,98.46,1.54,92.77,7.23,95.6,4.4,Aydın,1807,İncirliova
2014,98.56,1.44,94.25,5.75,96.37,3.63,Aydın,1435,Karacasu
2014,98.97,1.03,94.71,5.29,96.83,3.17,Aydın,1957,Karpuzlu
2014,98.47,1.53,92.4,7.6,95.42,4.58,Aydın,1479,Koçarlı
2014,99.14,0.86,96.47,3.53,97.82,2.18,Aydın,1968,Köşk
2014,99.5,0.5,98.33,1.67,98.92,1.08,Aydın,1497,Kuşadası
2014,98.89,1.11,95.59,4.41,97.21,2.79,Aydın,1498,Kuyucak
2014,99.07,0.93,96.61,3.39,97.82,2.18,Aydın,1542,Nazilli
2014,99.18,0.82,96.09,3.91,97.64,2.36,Aydın,1637,Söke
2014,99.18,0.82,97.3,2.7,98.21,1.79,Aydın,1640,Sultanhisar
2014,99.03,0.97,96.88,3.12,97.91,2.09,Aydın,1724,Yenipazar
2014,99.23,0.77,96.69,3.31,97.98,2.02,Balıkesir,2077,Altıeylül
2014,99.08,0.92,96.46,3.54,97.75,2.25,Balıkesir,1161,Ayvalık
2014,97.33,2.67,92.73,7.27,95.0,5.0,Balıkesir,1169,Balya
2014,99.48,0.52,98.14,1.86,98.82,1.18,Balıkesir,1171,Bandırma
2014,98.09,1.91,91.84,8.16,94.92,5.08,Balıkesir,1191,Bigadiç
2014,98.6,1.4,95.2,4.8,96.91,3.09,Balıkesir,1216,Burhaniye
2014,96.84,3.16,86.48,13.52,91.49,8.51,Balıkesir,1291,Dursunbey
2014,99.21,0.79,97.09,2.91,98.14,1.86,Balıkesir,1294,Edremit
2014,99.22,0.78,96.89,3.11,98.09,1.91,Balıkesir,1310,Erdek
2014,99.32,0.68,96.74,3.26,98.01,1.99,Balıkesir,1928,Gömeç
2014,98.53,1.47,93.92,6.08,96.21,3.79,Balıkesir,1360,Gönen
2014,97.96,2.04,94.3,5.7,96.14,3.86,Balıkesir,1384,Havran
2014,96.75,3.25,90.43,9.57,93.59,6.41,Balıkesir,1418,İvrindi
2014,99.28,0.72,97.68,2.32,98.46,1.54,Balıkesir,2078,Karesi
2014,98.61,1.39,93.72,6.28,96.28,3.72,Balıkesir,1462,Kepsut
2014,99.0,1.0,97.48,2.52,98.23,1.77,Balıkesir,1514,Manyas
2014,99.13,0.87,96.75,3.25,98.01,1.99,Balıkesir,1824,Marmara
2014,97.67,2.33,90.87,9.13,94.23,5.77,Balıkesir,1608,Savaştepe
2014,97.66,2.34,91.18,8.82,94.3,5.7,Balıkesir,1619,Sındırgı
2014,98.82,1.18,95.34,4.66,97.05,2.95,Balıkesir,1644,Susurluk
2014,97.99,2.01,92.28,7.72,95.11,4.89,Bartın,1761,Amasra
2014,95.22,4.78,80.41,19.59,87.87,12.13,Bartın,1496,Kurucaşile
2014,97.98,2.02,92.95,7.05,95.41,4.59,Bartın,1172,Merkez
2014,95.55,4.45,86.2,13.8,90.75,9.25,Bartın,1701,Ulus
2014,97.34,2.66,87.0,13.0,92.19,7.81,Batman,1184,Beşiri
2014,93.95,6.05,81.84,18.16,87.88,12.12,Batman,1345,Gercüş
2014,95.6,4.4,85.03,14.97,90.38,9.62,Batman,1941,Hasankeyf
2014,97.11,2.89,88.44,11.56,92.78,7.22,Batman,1487,Kozluk
2014,97.86,2.14,88.63,11.37,93.27,6.73,Batman,1174,Merkez
2014,95.39,4.61,85.11,14.89,90.4,9.6,Batman,1607,Sason
2014,98.95,1.05,89.07,10.93,93.94,6.06,Bayburt,1767,Aydıntepe
2014,98.08,1.92,88.11,11.89,93.13,6.87,Bayburt,1788,Demirözü
2014,98.53,1.47,90.07,9.93,94.44,5.56,Bayburt,1176,Merkez
2014,99.32,0.68,96.07,3.93,97.71,2.29,Bilecik,1210,Bozüyük
2014,96.84,3.16,89.61,10.39,93.17,6.83,Bilecik,1359,Gölpazarı
2014,96.78,3.22,90.49,9.51,93.54,6.46,Bilecik,1948,İnhisar
2014,99.44,0.56,97.49,2.51,98.55,1.45,Bilecik,1192,Merkez
2014,98.98,1.02,94.53,5.47,96.76,3.24,Bilecik,1559,Osmaneli
2014,98.82,1.18,93.12,6.88,95.88,4.12,Bilecik,1571,Pazaryeri
2014,99.3,0.7,96.23,3.77,97.88,2.12,Bilecik,1636,Söğüt
2014,97.28,2.72,88.97,11.03,92.96,7.04,Bilecik,1857,Yenipazar
2014,90.85,9.15,74.35,25.65,83.0,17.0,Bingöl,1750,Adaklı
2014,95.95,4.05,84.48,15.52,90.33,9.67,Bingöl,1344,Genç
2014,96.41,3.59,84.59,15.41,90.53,9.47,Bingöl,1446,Karlıova
2014,94.94,5.06,76.5,23.5,87.85,12.15,Bingöl,1475,Kiğı
2014,97.49,2.51,88.21,11.79,92.9,7.1,Bingöl,1193,Merkez
2014,96.46,3.54,82.73,17.27,89.59,10.41,Bingöl,1633,Solhan
2014,96.02,3.98,73.61,26.39,88.49,11.51,Bingöl,1855,Yayladere
2014,95.1,4.9,76.32,23.68,86.95,13.05,Bingöl,1996,Yedisu
2014,98.48,1.52,92.3,7.7,95.48,4.52,Bitlis,1106,Adilcevaz
2014,98.37,1.63,88.91,11.09,93.77,6.23,Bitlis,1112,Ahlat
2014,97.9,2.1,85.46,14.54,91.85,8.15,Bitlis,1798,Güroymak
2014,95.3,4.7,81.7,18.3,88.61,11.39,Bitlis,1394,Hizan
2014,98.23,1.77,89.41,10.59,94.09,5.91,Bitlis,1196,Merkez
2014,95.02,4.98,79.86,20.14,87.61,12.39,Bitlis,1537,Mutki
2014,97.65,2.35,87.84,12.16,92.97,7.03,Bitlis,1669,Tatvan
2014,96.07,3.93,79.47,20.53,87.36,12.64,Bolu,1916,Dörtdivan
2014,98.04,1.96,89.9,10.1,93.93,6.07,Bolu,1346,Gerede
2014,96.62,3.38,87.0,13.0,91.82,8.18,Bolu,1364,Göynük
2014,96.52,3.48,79.43,20.57,87.73,12.27,Bolu,1466,Kıbrıscık
2014,98.49,1.51,91.04,8.96,94.75,5.25,Bolu,1522,Mengen
2014,99.19,0.81,96.05,3.95,97.59,2.41,Bolu,1199,Merkez
2014,97.66,2.34,90.95,9.05,94.3,5.7,Bolu,1531,Mudurnu
2014,96.62,3.38,86.68,13.32,91.54,8.46,Bolu,1610,Seben
2014,98.48,1.52,88.57,11.43,93.4,6.6,Bolu,1997,Yeniçağa
2014,99.29,0.71,94.72,5.28,96.97,3.03,Burdur,1109,Ağlasun
2014,97.57,2.43,88.29,11.71,92.96,7.04,Burdur,1874,Altınyayla
2014,98.67,1.33,93.91,6.09,96.26,3.74,Burdur,1211,Bucak
2014,98.42,1.58,92.1,7.9,95.23,4.77,Burdur,1899,Çavdır
2014,98.84,1.16,95.27,4.73,96.97,3.03,Burdur,1903,Çeltikçi
2014,98.09,1.91,92.36,7.64,95.19,4.81,Burdur,1357,Gölhisar
2014,99.39,0.61,95.6,4.4,97.46,2.54,Burdur,1813,Karamanlı
2014,98.67,1.33,93.74,6.26,96.13,3.87,Burdur,1816,Kemer
2014,99.22,0.78,96.17,3.83,97.68,2.32,Burdur,1215,Merkez
2014,98.25,1.75,93.61,6.39,95.89,4.11,Burdur,1672,Tefenni
2014,98.26,1.74,91.98,8.02,95.0,5.0,Burdur,1728,Yeşilova
2014,92.19,7.81,72.5,27.5,82.19,17.81,Bursa,1783,Büyükorhan
2014,99.02,0.98,95.28,4.72,97.16,2.84,Bursa,1343,Gemlik
2014,99.04,0.96,94.03,5.97,96.57,3.43,Bursa,1935,Gürsu
2014,95.1,4.9,76.79,23.21,85.64,14.36,Bursa,1799,Harmancık
2014,98.79,1.21,94.34,5.66,96.57,3.43,Bursa,1411,İnegöl
2014,98.21,1.79,91.53,8.47,94.84,5.16,Bursa,1420,İznik
2014,98.11,1.89,91.48,8.52,94.79,5.21,Bursa,1434,Karacabey
2014,95.93,4.07,85.45,14.55,90.58,9.42,Bursa,1457,Keles
2014,98.96,1.04,94.63,5.37,96.78,3.22,Bursa,1960,Kestel
2014,99.13,0.87,96.11,3.89,97.59,2.41,Bursa,1530,Mudanya
2014,97.96,2.04,91.61,8.39,94.75,5.25,Bursa,1535,Mustafakemalpaşa
2014,99.46,0.54,97.56,2.44,98.5,1.5,Bursa,1829,Nilüfer
2014,95.27,4.73,83.92,16.08,89.45,10.55,Bursa,1553,Orhaneli
2014,99.14,0.86,94.69,5.31,96.92,3.08,Bursa,1554,Orhangazi
2014,99.17,0.83,95.56,4.44,97.37,2.63,Bursa,1832,Osmangazi
2014,98.55,1.45,92.45,7.55,95.48,4.52,Bursa,1725,Yenişehir
2014,99.0,1.0,94.73,5.27,96.87,3.13,Bursa,1859,Yıldırım
2014,98.77,1.23,96.44,3.56,97.6,2.4,Çanakkale,1160,Ayvacık
2014,98.64,1.36,95.79,4.21,97.19,2.81,Çanakkale,1180,Bayramiç
2014,99.16,0.84,97.3,2.7,98.22,1.78,Çanakkale,1190,Biga
2014,99.86,0.14,99.57,0.43,99.73,0.27,Çanakkale,1205,Bozcaada
2014,99.34,0.66,97.73,2.27,98.54,1.46,Çanakkale,1229,Çan
2014,99.41,0.59,97.76,2.24,98.61,1.39,Çanakkale,1293,Eceabat
2014,98.36,1.64,93.48,6.52,96.0,4.0,Çanakkale,1326,Ezine
2014,98.76,1.24,96.3,3.7,97.63,2.37,Çanakkale,1340,Gelibolu
2014,99.37,0.63,96.72,3.28,98.27,1.73,Çanakkale,1408,Gökçeada
2014,99.27,0.73,98.24,1.76,98.75,1.25,Çanakkale,1503,Lapseki
2014,99.3,0.7,97.98,2.02,98.65,1.35,Çanakkale,1230,Merkez
2014,98.95,1.05,96.18,3.82,97.54,2.46,Çanakkale,1722,Yenice
2014,98.85,1.15,93.87,6.13,96.41,3.59,Çankırı,1765,Atkaracalar
2014,91.33,8.67,70.82,29.18,81.31,18.69,Çankırı,1885,Bayramören
2014,98.23,1.77,90.95,9.05,94.61,5.39,Çankırı,1248,Çerkeş
2014,98.03,1.97,87.29,12.71,92.48,7.52,Çankırı,1300,Eldivan
2014,97.61,2.39,87.03,12.97,92.25,7.75,Çankırı,1399,Ilgaz
2014,97.61,2.39,88.33,11.67,92.79,7.21,Çankırı,1817,Kızılırmak
2014,97.95,2.05,87.97,12.03,92.89,7.11,Çankırı,1963,Korgun
2014,97.37,2.63,88.56,11.44,93.02,6.98,Çankırı,1494,Kurşunlu
2014,98.9,1.1,94.04,5.96,96.48,3.52,Çankırı,1232,Merkez
2014,97.75,2.25,85.79,14.21,91.81,8.19,Çankırı,1555,Orta
2014,97.73,2.27,94.58,5.42,96.15,3.85,Çankırı,1649,Şabanözü
2014,93.37,6.63,80.53,19.47,86.66,13.34,Çankırı,1718,Yapraklı
2014,97.87,2.13,89.79,10.21,93.82,6.18,Çorum,1124,Alaca
2014,96.24,3.76,90.24,9.76,93.13,6.87,Çorum,1177,Bayat
2014,98.93,1.07,97.73,2.27,98.33,1.67,Çorum,1778,Boğazkale
2014,97.65,2.35,92.76,7.24,95.13,4.87,Çorum,1911,Dodurga
2014,94.57,5.43,85.12,14.88,89.74,10.26,Çorum,1414,İskilip
2014,96.9,3.1,91.96,8.04,94.33,5.67,Çorum,1445,Kargı
2014,95.53,4.47,89.74,10.26,92.64,7.36,Çorum,1972,Laçin
2014,98.4,1.6,94.25,5.75,96.29,3.71,Çorum,1520,Mecitözü
2014,98.5,1.5,93.74,6.26,96.1,3.9,Çorum,1259,Merkez
2014,97.32,2.68,94.71,5.29,95.99,4.01,Çorum,1976,Oğuzlar
2014,97.65,2.35,89.38,10.62,93.64,6.36,Çorum,1556,Ortaköy
2014,96.59,3.41,87.89,12.11,92.18,7.82,Çorum,1558,Osmancık
2014,96.0,4.0,83.62,16.38,89.74,10.26,Çorum,1642,Sungurlu
2014,97.73,2.27,91.19,8.81,94.43,5.57,Çorum,1850,Uğurludağ
2014,98.94,1.06,96.12,3.88,97.53,2.47,Denizli,1102,Acıpayam
2014,99.09,0.91,95.35,4.65,97.24,2.76,Denizli,1769,Babadağ
2014,99.07,0.93,96.61,3.39,97.82,2.18,Denizli,1881,Baklan
2014,99.33,0.67,92.53,7.47,95.68,4.32,Denizli,1774,Bekilli
2014,98.98,1.02,97.05,2.95,98.02,1.98,Denizli,1888,Beyağaç
2014,99.4,0.6,97.25,2.75,98.22,1.78,Denizli,1889,Bozkurt
2014,99.28,0.72,97.03,2.97,98.12,1.88,Denizli,1214,Buldan
2014,99.04,0.96,95.46,4.54,97.21,2.79,Denizli,1224,Çal
2014,98.9,1.1,95.68,4.32,97.31,2.69,Denizli,1226,Çameli
2014,99.36,0.64,95.8,4.2,97.61,2.39,Denizli,1233,Çardak
2014,98.77,1.23,92.45,7.55,95.56,4.44,Denizli,1257,Çivril
2014,97.77,2.23,90.04,9.96,93.85,6.15,Denizli,1371,Güney
2014,99.22,0.78,96.97,3.03,98.16,1.84,Denizli,1803,Honaz
2014,99.04,0.96,96.81,3.19,97.92,2.08,Denizli,1426,Kale
2014,99.36,0.64,97.83,2.17,98.59,1.41,Denizli,2079,Merkezefendi
2014,99.53,0.47,98.05,1.95,98.79,1.21,Denizli,1871,Pamukkale
2014,99.45,0.55,98.25,1.75,98.85,1.15,Denizli,1597,Sarayköy
2014,99.0,1.0,92.48,7.52,95.69,4.31,Denizli,1840,Serinhisar
2014,99.11,0.89,94.38,5.62,96.69,3.31,Denizli,1670,Tavas
2014,97.46,2.54,85.39,14.61,91.47,8.53,Diyarbakır,2040,Bağlar
2014,96.47,3.53,86.42,13.58,91.41,8.59,Diyarbakır,1195,Bismil
2014,96.0,4.0,84.17,15.83,90.12,9.88,Diyarbakır,1249,Çermik
2014,95.82,4.18,81.95,18.05,88.84,11.16,Diyarbakır,1253,Çınar
2014,94.32,5.68,77.83,22.17,86.08,13.92,Diyarbakır,1263,Çüngüş
2014,93.74,6.26,79.01,20.99,86.49,13.51,Diyarbakır,1278,Dicle
2014,93.05,6.95,71.7,28.3,82.35,17.65,Diyarbakır,1791,Eğil
2014,95.63,4.37,82.69,17.31,89.23,10.77,Diyarbakır,1315,Ergani
2014,94.36,5.64,77.91,22.09,86.24,13.76,Diyarbakır,1381,Hani
2014,94.02,5.98,76.38,23.62,85.35,14.65,Diyarbakır,1389,Hazro
2014,98.47,1.53,90.13,9.87,94.36,5.64,Diyarbakır,2041,Kayapınar
2014,95.07,4.93,78.31,21.69,86.75,13.25,Diyarbakır,1962,Kocaköy
2014,93.8,6.2,80.28,19.72,87.05,12.95,Diyarbakır,1490,Kulp
2014,94.23,5.77,82.32,17.68,88.58,11.42,Diyarbakır,1504,Lice
2014,96.88,3.12,90.68,9.32,93.79,6.21,Diyarbakır,1624,Silvan
2014,96.27,3.73,83.82,16.18,89.95,10.05,Diyarbakır,2042,Sur
2014,97.95,2.05,88.77,11.23,93.41,6.59,Diyarbakır,2043,Yenişehir
2014,98.89,1.11,94.21,5.79,96.52,3.48,Düzce,1116,Akçakoca
2014,98.97,1.03,93.86,6.14,96.53,3.47,Düzce,1905,Çilimli
2014,98.99,1.01,94.98,5.02,97.03,2.97,Düzce,1784,Cumayeri
2014,98.09,1.91,89.35,10.65,93.71,6.29,Düzce,1794,Gölyaka
2014,98.83,1.17,92.9,7.1,95.89,4.11,Düzce,2017,Gümüşova
2014,98.9,1.1,91.77,8.23,95.29,4.71,Düzce,2031,Kaynaşlı
2014,98.97,1.03,94.74,5.26,96.85,3.15,Düzce,1292,Merkez
2014,95.71,4.29,81.8,18.2,88.83,11.17,Düzce,1730,Yığılca
2014,97.72,2.28,91.97,8.03,94.84,5.16,Edirne,1307,Enez
2014,98.69,1.31,95.13,4.87,96.9,3.1,Edirne,1385,Havsa
2014,98.29,1.71,94.37,5.63,96.41,3.59,Edirne,1412,İpsala
2014,98.26,1.74,93.31,6.69,95.83,4.17,Edirne,1464,Keşan
2014,98.43,1.57,95.33,4.67,96.96,3.04,Edirne,1502,Lalapaşa
2014,96.15,3.85,88.14,11.86,92.18,7.82,Edirne,1523,Meriç
2014,99.1,0.9,96.59,3.41,97.85,2.15,Edirne,1295,Merkez
2014,98.55,1.45,94.77,5.23,97.02,2.98,Edirne,1988,Süloğlu
2014,97.64,2.36,93.47,6.53,95.57,4.43,Edirne,1705,Uzunköprü
2014,97.95,2.05,90.8,9.2,94.23,5.77,Elazığ,1110,Ağın
2014,97.48,2.52,92.33,7.67,94.99,5.01,Elazığ,1873,Alacakaya
2014,97.33,2.67,90.32,9.68,93.93,6.07,Elazığ,1762,Arıcak
2014,94.94,5.06,86.74,13.26,90.73,9.27,Elazığ,1173,Baskil
2014,96.61,3.39,91.09,8.91,93.83,6.17,Elazığ,1438,Karakoçan
2014,97.31,2.69,89.4,10.6,93.18,6.82,Elazığ,1455,Keban
2014,96.96,3.04,91.42,8.58,94.15,5.85,Elazığ,1820,Kovancılar
2014,97.06,2.94,89.2,10.8,93.05,6.95,Elazığ,1506,Maden
2014,98.31,1.69,93.21,6.79,95.71,4.29,Elazığ,1298,Merkez
2014,96.09,3.91,90.41,9.59,93.29,6.71,Elazığ,1566,Palu
